,O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
11995,17-2021.00,Agricultural Engineers,ESRI ArcView,43232510,Geographic information system,N
12002,17-2021.00,Agricultural Engineers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
12132,17-2031.00,Bioengineers and Biomedical Engineers,Splunk Enterprise,43232806,Cloud-based management software,Y
12171,17-2041.00,Chemical Engineers,Computer aided manufacturing CAM software,43232612,Computer aided manufacturing CAM software,N
12194,17-2041.00,Chemical Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
12296,17-2051.01,Transportation Engineers,ESRI ArcGIS software,43232510,Geographic information system,Y
12423,17-2061.00,Computer Hardware Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
12545,17-2071.00,Electrical Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
12607,17-2072.00,"Electronics Engineers, Except Computer",ESRI ArcGIS software,43232510,Geographic information system,Y
12653,17-2072.01,Radio Frequency Identification Device Specialists,ESRI ArcGIS software,43232510,Geographic information system,Y
12665,17-2072.01,Radio Frequency Identification Device Specialists,Microsoft Visio,43231518,Process mapping and design software,Y
12853,17-2111.02,Fire-Prevention and Protection Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
12912,17-2112.00,Industrial Engineers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
13006,17-2112.01,Human Factors Engineers and Ergonomists,Microsoft Visio,43231518,Process mapping and design software,Y
13089,17-2112.02,Validation Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
13122,17-2112.02,Validation Engineers,Splunk Enterprise,43232806,Cloud-based management software,Y
13157,17-2112.03,Manufacturing Engineers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
13158,17-2112.03,Manufacturing Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
13231,17-2131.00,Materials Engineers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
13232,17-2131.00,Materials Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
13301,17-2141.00,Mechanical Engineers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
13303,17-2141.00,Mechanical Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
13426,17-2141.02,Automotive Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
13472,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
13563,17-2171.00,Petroleum Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
13613,17-2199.03,"Energy Engineers, Except Wind and Solar",Microsoft Visio,43231518,Process mapping and design software,Y
13650,17-2199.05,Mechatronics Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
13786,17-2199.07,Photonics Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
13846,17-2199.08,Robotics Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
13906,17-2199.09,Nanosystems Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
13963,17-2199.10,Wind Energy Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
